threshold,auc_I,auc_II,mean_conf_correct,mean_conf_incorrect,conf_var_correct,conf_var_incorrect,day,set,subject
53.51758794,0.617083108,0.486013986,3.4545,3.5556,0.42975,0.24691,1,1,4
49.24623116,0.89208317,0.689814815,3.8125,3.25,0.15234,0.6875,1,1,4
48.74371859,0.87863649,0.584210526,3.5294,3.3333,0.24913,0.88889,1,1,4
50.75376884,0.777,0.609375,3.7143,3.3333,0.4898,0.88889,1,1,4
50,0.88855,0.693277311,3.7333,3.2,0.46222,0.56,1,1,4
48.74371859,0.83626232,0.689814815,3.8125,3.25,0.15234,0.6875,1,1,4
51.00502513,0.77974766,0.62962963,3.8462,3.5714,0.13018,0.2449,1,1,4
46.98492462,0.907966688,0.626984127,3.6316,4,0.54848,0,1,1,4
49.74874372,0.88905,0.78125,4,3.3333,0,0.22222,1,1,4
47.2361809,0.979504716,0.84375,3.7778,2.5,0.17284,0.25,1,1,4
46.73366834,0.973786885,0.83125,3.6111,2,0.45988,0,1,1,4
41.95979899,0.9851,0.840909091,4,NaN,0,NaN,1,1,4
44.22110553,0.9756,0.841269841,3.8947,3,0.094183,0,1,1,4
29.39698492,0.794791773,0.478991597,3.4667,3.8,0.64889,0.16,1,1,4
29.64824121,0.836666665,0.521052632,3.7059,4,0.32526,0,1,1,4
27.63819095,0.91489019,0.76875,4,3.5,0,0.25,1,1,4
28.64321608,0.86854179,0.740740741,3.625,2.75,0.35938,0.6875,1,1,4
47.98994975,0.937133353,0.752631579,3.3529,2.3333,0.81661,0.22222,1,1,5
47.48743719,0.91540363,0.747368421,3.5294,2,0.48443,2,1,1,5
48.74371859,0.879494606,0.760504202,2.9333,1.4,1.3956,0.24,1,1,5
47.73869347,0.912357842,0.787037037,3.0625,1.25,1.3086,0.1875,1,1,5
47.2361809,0.888022069,0.694444444,3.25,2.5,0.5625,0.75,1,1,5
47.98994975,0.894393576,0.823529412,3.3333,1.6,0.75556,0.64,1,1,5
42.21105528,0.98265,0.715909091,3.45,NaN,0.8475,NaN,1,1,5
49.49748744,0.694545745,0.660714286,3.75,2.875,0.1875,1.6094,1,1,5
46.48241206,0.874885263,0.768518519,3.8125,3,0.27734,0.5,1,1,5
43.96984925,0.979948495,0.841269841,3.8947,3,0.094183,0,1,1,5
46.98492462,0.905984199,0.8515625,3.7857,1.6667,0.16837,1.2222,1,1,5
46.73366834,0.879,0.798319328,3.7333,2.2,0.59556,1.36,1,1,5
42.71356784,0.606091853,0.527972028,2.3636,2.2222,1.3223,1.0617,1,1,5
43.71859296,0.811110714,0.692857143,2.0833,1.25,0.90972,0.4375,1,1,5
51.50753769,0.733636564,0.6,2.6154,2,1.4675,1.7143,1,1,5
50,0.871478505,0.798319328,3.3333,1.8,0.62222,0.96,1,1,5
50.75376884,0.851533595,0.8203125,3,1,1.4286,0,1,1,5
47.98994975,0.966508353,0.825,3.6667,2,0.55556,1,1,1,5
46.98492462,0.980516688,0.793650794,3.7368,3,0.40443,0,1,1,5
46.98492462,0.9591125,0.775,4,3,0,1,1,1,5
42.46231156,0.984594445,0.829545455,3.95,NaN,0.0475,NaN,1,1,5
28.64321608,0.909061081,0.75,3.8889,3,0.20988,1,1,1,5
24.3718593,0.79505,0.6484375,2.5714,1.6667,2.102,0.88889,1,1,5
27.38693467,0.84055,0.705882353,2.6,1,2.24,0,1,1,5
35.42713568,0.819090651,0.68487395,3.3333,2.8,0.48889,0.16,1,1,6
41.70854271,0.85439355,0.615789474,3.1765,3,0.73356,0,1,1,6
42.21105528,0.925675,0.851851852,3.625,2,0.35938,0.5,1,1,6
41.70854271,0.87205,0.726851852,3.5625,2.75,0.37109,0.6875,1,1,6
39.69849246,0.924697045,0.73125,3.7778,2.5,0.17284,2.25,1,1,6
39.44723618,0.741999935,0.56875,3.7222,4,0.31173,0,1,1,6
40.45226131,0.789999835,0.546296296,3.6875,3.75,0.21484,0.1875,1,1,6
38.44221106,0.95130008,0.79375,3.7222,3,0.20062,0,1,1,6
37.43718593,0.828791392,0.60625,3.8333,4,0.25,0,1,1,6
35.92964824,0.984316665,0.873015873,3.8947,1,0.094183,0,1,1,6
36.68341709,0.95755,0.878947368,3.8235,2,0.14533,0.66667,1,1,6
37.68844221,0.796716921,0.6796875,3.4286,2.8333,0.67347,0.47222,1,1,6
22.36180905,0.94455,0.75625,3.6111,3,0.34877,0,1,1,6
24.87437186,0.833809484,0.755555556,3.7692,2.5714,0.17751,1.3878,1,1,6
22.86432161,0.75979175,0.554621849,3.2667,3.2,0.72889,0.56,1,1,6
24.62311558,0.682619164,0.518518519,3.6923,3.7143,0.21302,0.20408,1,1,6
20.60301508,0.931,0.642857143,3.7368,4,0.29917,0,1,1,6
24.87437186,0.7525,0.714814815,3.8462,3,0.28402,0.85714,1,1,6
23.36683417,0.85905023,0.668067227,3.6667,3.4,0.62222,0.24,1,1,6
22.11055276,0.89455,0.694736842,3.5294,2.6667,0.48443,1.5556,1,1,6
22.86432161,0.81305,0.701680672,4,3.4,0,0.64,1,1,6
22.11055276,0.90855,0.742105263,3.7059,2.6667,0.44291,1.5556,1,1,6
23.36683417,0.802,0.65234375,3.7143,3.1667,0.20408,0.80556,1,1,6
20.60301508,0.943144969,0.7375,3.8333,3,0.25,1,1,1,6
46.98492462,0.91905,0.6625,3.1111,2.5,0.65432,0.25,1,2,7
40.70351759,0.819797564,0.734375,2.7143,1.5,1.2041,0.58333,1,2,7
40.45226131,0.915929223,0.588235294,2.4667,2,1.1822,0.4,1,2,7
41.45728643,0.860050143,0.78125,3,1.3333,1.4286,0.55556,1,2,7
39.1959799,0.930466773,0.5875,2.6111,2,1.1265,1,1,2,7
39.94974874,0.944424978,0.824074074,3.25,1.5,0.8125,0.25,1,2,7
38.19095477,0.943591705,0.675,3,2,0.88889,1,1,2,7
38.44221106,0.936863279,0.705263158,2.5882,1.3333,1.0657,0.22222,1,2,7
36.93467337,0.973026103,0.8375,3.4444,1.5,0.35802,0.25,1,2,7
36.4321608,0.9626,0.70625,2.7222,1,1.534,0,1,2,7
35.42713568,0.980983335,0.8125,3.1111,1,0.65432,0,1,2,7
36.18090452,0.909383235,0.740740741,3,1.5,1.625,0.75,1,2,7
41.95979899,0.961091705,0.777777778,3.6842,3,0.32133,0,1,2,7
39.94974874,0.92105,0.563492063,3.3684,4,0.86427,0,1,2,7
40.45226131,0.892221825,0.55625,3.2222,3.5,1.0617,0.25,1,2,7
39.44723618,0.911716853,0.5625,2.6667,2.5,1,0.25,1,2,7
35.67839196,0.937797278,0.619047619,3.1053,3,0.93629,0,1,2,7
24.3718593,0.89805,0.81092437,2.9333,1,1.3956,0,1,2,7
25.87939698,0.933401683,0.861344538,3.2667,1.2,0.72889,0.16,1,2,7
25.87939698,0.813666765,0.537815126,2.2667,2,1.1289,0.8,1,2,7
23.86934673,0.85543969,0.51875,2.6667,2.5,0.88889,2.25,1,2,7
23.86934673,0.952321775,0.715789474,3.2941,2.3333,0.56055,0.88889,1,2,7
25.12562814,0.82205,0.638655462,2.6,1.8,1.44,0.56,1,2,7
22.86432161,0.86442521,0.45625,2.3333,2.5,1.3333,0.25,1,2,7
51.50753769,0.7185,0.644444444,3.4615,3,0.24852,0.57143,1,2,8
