threshold,auc_I,auc_II,mean_conf_correct,mean_conf_incorrect,conf_var_correct,conf_var_incorrect,day,set,subject
0.124764566,0.795879365,0.718487395,3.6667,2.6,0.48889,1.44,1,1,1
0.088326548,0.974891648,0.801587302,3.6316,2,0.54848,0,1,1,1
0.080554769,0.975453555,0.801587302,3.6316,2,0.54848,0,1,1,1
0.09248925,0.852333235,0.638888889,3.25,2.75,0.8125,0.6875,1,1,1
0.099104017,0.87247439,0.777310924,3.5333,2.4,0.38222,0.64,1,1,1
0.061107042,0.97772627,0.801587302,3.5789,2,0.45429,0,1,1,1
0.101412446,0.85104154,0.651851852,3.3077,2.7143,0.67456,0.77551,1,1,1
0.076929208,0.855675103,0.642105263,2.9412,2.3333,0.76125,0.22222,1,1,1
0.101412446,0.694006197,0.614814815,3.3077,3,0.36686,0.28571,1,1,1
0.09248925,0.6328125,0.6015625,3.4286,3.1667,0.38776,0.47222,1,1,1
0.071794514,0.96105,0.8,3.6111,2.5,0.34877,0.25,1,1,1
0.057028409,0.955258455,0.698412698,3.4211,3,0.55956,0,1,1,1
0.078721119,0.862,0.605263158,3.4118,3,0.9481,2,1,1,1
0.078721119,0.846919335,0.663865546,3.4667,2.8,0.64889,0.96,1,1,1
0.059716076,0.928681397,0.5125,2.8333,3,1.25,1,1,1,1
0.068563228,0.855403746,0.657407407,3.25,2.75,0.8125,0.1875,1,1,1
0.048539049,0.913125,0.634920635,3.7368,4,0.19391,0,1,1,1
0.055730284,0.88855,0.636842105,3.7059,3.3333,0.32526,0.88889,1,1,1
0.058356772,0.839583313,0.525210084,3.2,3.2,0.82667,0.96,1,1,1
0.058356772,0.788666735,0.773109244,3.8,3,0.16,0.4,1,1,1
0.061107042,0.825624858,0.62109375,3.3571,2.8333,0.37245,1.1389,1,1,1
0.101412446,0.59005,0.534965035,3.0909,3,0.44628,0.22222,1,1,1
0.034363015,0.982877275,0.715909091,3.45,NaN,0.6475,NaN,1,1,1
0.059716076,0.773181939,0.605042017,3.2667,3,0.72889,0.4,1,1,1
0.023232249,0.930606135,0.7125,3.7222,3,0.20062,1,1,2,2
0.015,0.98365,0.761363636,3.65,NaN,0.3275,NaN,1,2,2
0.019323743,0.92898947,0.789473684,3.4118,2.3333,0.35986,0.22222,1,2,2
0.019323743,0.765883313,0.574074074,3.3125,3.25,0.46484,0.1875,1,2,2
0.018883881,0.724697189,0.516806723,3.2,3.2,0.16,0.56,1,2,2
0.015706928,0.918406693,0.631578947,3.3529,3,0.34602,0.66667,1,2,2
0.020234443,0.686333265,0.48046875,3.4286,3.5,0.2449,0.58333,1,2,2
0.026674191,0.615101289,0.521428571,3.5833,3.5,0.24306,0.5,1,2,2
0.022186626,0.88379992,0.76171875,3.5714,2.8333,0.2449,0.13889,1,2,2
0.026067012,0.74249996,0.666666667,3.9231,3.4286,0.071006,0.53061,1,2,2
0.023773398,0.849285916,0.578703704,3.5625,3.5,0.24609,0.25,1,2,2
0.045299276,0.65555,0.671328671,3.5455,3,0.24793,0.44444,1,2,2
0.018454032,0.948800165,0.698412698,3.9474,4,0.049861,0,1,2,2
0.019323743,0.91651474,0.7,3.7778,3.5,0.28395,0.25,1,2,2
0.024893804,0.716508188,0.5546875,3,2.8333,0.71429,0.13889,1,2,2
0.022186626,0.778232489,0.638655462,3.3333,2.8,0.48889,0.96,1,2,2
0.019323743,0.89405,0.736111111,3.5625,3,0.24609,0,1,2,2
0.019773851,0.792121415,0.537037037,3.375,3.5,0.60938,0.25,1,2,2
0.017222304,0.9354036,0.6625,3.5,3,0.36111,1,1,2,2
0.160727896,0.474090859,0.573426573,3.6667,3.4545,0.22222,0.24793,1,2,2
0.018454032,0.869761434,0.615789474,3.2941,3,0.32526,0.66667,1,2,2
0.026067012,0.620151784,0.481481481,3.6154,3.8571,0.54438,0.12245,1,2,2
0.027931307,0.652143216,0.588888889,4,3.7143,0,0.4898,1,2,2
0.027931307,0.768406803,0.588235294,3.5333,3.4,0.24889,0.24,1,2,2
0.061107042,0.9646,0.79375,3.5556,2.5,0.24691,0.25,1,1,3
0.073466823,0.82100978,0.659663866,3,2.4,0.4,0.64,1,1,3
0.075178085,0.78095,0.6796875,2.9286,2.1667,0.20918,1.1389,1,1,3
0.071794514,0.85605,0.705882353,2.7333,1.8,0.72889,0.56,1,1,3
0.054461708,0.97213337,0.79375,3.0556,2,0.052469,0,1,1,3
0.058356772,0.878049835,0.594736842,2.6471,2.3333,0.46367,0.22222,1,1,3
0.065477375,0.74095932,0.457983193,2.1333,2.2,0.51556,0.96,1,1,3
0.042275744,0.9802,0.579365079,2.5263,2,0.77562,0,1,1,3
0.061107042,0.77277745,0.6171875,2.2143,1.6667,0.7398,0.55556,1,1,3
0.078721119,0.611698454,0.453571429,2.0833,2.25,0.74306,0.6875,1,1,3
0.052010528,0.899097633,0.368421053,2.1176,2.6667,0.69204,0.22222,1,1,3
0.099104017,0.5845,0.534965035,1.8182,1.6667,0.69421,0.66667,1,1,3
0.045299276,0.93205,0.736842105,3.1765,2,0.96886,0.66667,1,1,3
0.052010528,0.848978394,0.605042017,2.4,2,0.64,0.4,1,1,3
0.046354431,0.846808341,0.542016807,2.4667,2.2,0.91556,0.96,1,1,3
0.065477375,0.623731498,0.589285714,2.6667,2.375,0.55556,0.73438,1,1,3
0.035163432,0.98091923,0.69047619,2.7895,1,0.58726,0,1,1,3
0.067002539,0.582524625,0.535714286,2.5,2.375,0.41667,0.48438,1,1,3
0.070160271,0.70245,0.442857143,2.1667,2.375,0.63889,0.48438,1,1,3
0.044268138,0.958837925,0.5875,2.2778,1.5,0.9784,0.25,1,1,3
0.03945402,0.88505,0.53125,2.5556,2.5,0.46914,0.25,1,1,3
0.063986928,0.79802592,0.544444444,1.9231,1.7143,0.53254,0.4898,1,1,3
0.052010528,0.930302126,0.768907563,2.5333,1.4,0.38222,0.24,1,1,3
0.038555937,0.919683358,0.54375,2,1.5,0.44444,0.25,1,1,3
0.080554769,0.748731449,0.554621849,2.3333,2,1.0222,0.8,1,2,4
0.076929208,0.86439308,0.578703704,1.9375,1.25,1.1836,0.1875,1,2,4
0.052010528,0.967119725,0.571428571,2.1579,1,0.86981,0,1,2,4
0.086315991,0.7376,0.674074074,2.3077,1.4286,1.1361,0.2449,1,2,4
0.068563228,0.81343399,0.509259259,1.9375,1.75,0.68359,0.6875,1,2,4
0.065477375,0.824190964,0.527777778,1.875,1.5,0.85938,0.25,1,2,4
0.082431131,0.596977941,0.455555556,1.8462,1.8571,1.0533,0.40816,1,2,4
0.084351199,0.8251,0.515625,1.7143,1.5,0.63265,0.25,1,2,4
0.070160271,0.830383335,0.648148148,2.75,2.25,0.5625,0.1875,1,2,4
0.065477375,0.9211,0.663157895,2.1176,1,0.80969,0,1,2,4
0.075178085,0.83005,0.668067227,2.6667,1.8,0.62222,0.96,1,2,4
0.103774646,0.718,0.642857143,2.25,1.625,0.6875,0.73438,1,2,4
0.034363015,0.980705555,0.545454545,2.7,NaN,0.61,NaN,1,2,4
0.036820634,0.86067496,0.3875,1.7222,2,0.64506,1,1,2,4
0.044268138,0.76770862,0.504201681,1.8,1.6,0.96,0.64,1,2,4
0.076929208,0.631924835,0.713286713,2.2727,1.4444,0.56198,0.46914,1,2,4
0.035163432,0.899440756,0.5,2.2222,2,0.83951,0,1,2,4
0.043260473,0.836161321,0.621848739,2.2667,1.6,0.86222,0.64,1,2,4
0.057028409,0.70655,0.607407407,2.1538,1.7143,0.43787,0.77551,1,2,4
0.045299276,0.8076,0.481481481,1.875,1.75,0.98438,0.6875,1,2,4
0.078721119,0.621508148,0.671328671,2.3636,1.7778,0.41322,0.39506,1,2,4
0.046354431,0.871110745,0.589473684,2.4706,2,0.48443,0.66667,1,2,4
0.047434165,0.882979446,0.685185185,2.25,1.25,0.8125,0.1875,1,2,4
0.043260473,0.891300023,0.589473684,2.2353,1.6667,0.76817,0.22222,1,2,4
0.086315991,0.821373827,0.680672269,3.9333,3.4,0.062222,0.64,1,1,5
