subject,pre_training_trainedset,post_training_trainedset,pre_training_untrainedset,post_training_untrainedset,TI
1,49.1834,40.8291,48.1156,49.9372,-0.22
2,44.0955,31.093,45.9799,43.4045,0.19
3,40.9548,19.4095,42.4623,27.3241,0.68
4,50.5653,32.6005,49.5603,30.0251,1.11
5,42.5879,29.2714,47.299,46.1055,0.08
6,27.8894,35.1131,44.2211,41.9598,-0.2
7,41.897,25.9422,38.5678,21.8593,1.14
8,49.309,42.1482,46.4824,37.8769,1.27
9,38.6307,23.5553,39.196,21.1683,1.18
10,46.5452,24.309,36.9975,31.2814,0.32
11,48.5553,36.9975,49.7487,24.8744,2.1
12,52.6382,44.6608,43.0905,42.6508,0.07
13,48.4925,53.1407,53.2035,56.0302,0.55
14,43.0905,43.7814,47.5503,46.1055,-1.89
15,39.7613,38.8819,39.9497,36.1181,4.34
16,28.7688,16.8342,32.6633,21.3568,0.83
17,47.9899,30.3392,39.3216,32.7261,0.46
18,43.9698,34.7362,49.0578,40.2638,0.85
19,41.7714,38.4422,37.5628,38.8819,-0.44
20,28.0151,11.3693,43.907,21.1055,0.87
